"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0008150","biological_process",50,0.796769895414263,2.54005491362055,1e-10,9.13333333333333e-10,4.21052631578947e-11,183,"tags=46%, list=6%, signal=44%","NEK9/ZNF598/MED15/ASCC3/MED1/PABPC1/UFL1/LARP1/EP300/PKN1/DDRGK1/TRIP4/STK3/UFSP2/PPP6R1/ASCC1/NCOA2/DDX21/CMTR1/NCOA7/ANKRD28/DHX29/PKN3"
"GO:0009987","cellular process",50,0.796769895414263,2.54005491362055,1e-10,9.13333333333333e-10,4.21052631578947e-11,183,"tags=46%, list=6%, signal=44%","NEK9/ZNF598/MED15/ASCC3/MED1/PABPC1/UFL1/LARP1/EP300/PKN1/DDRGK1/TRIP4/STK3/UFSP2/PPP6R1/ASCC1/NCOA2/DDX21/CMTR1/NCOA7/ANKRD28/DHX29/PKN3"
"GO:0044238","primary metabolic process",44,0.813873985167385,2.52955499061987,1e-10,9.13333333333333e-10,4.21052631578947e-11,183,"tags=45%, list=6%, signal=43%","ZNF598/MED15/ASCC3/MED1/PABPC1/UFL1/LARP1/EP300/PKN1/DDRGK1/TRIP4/STK3/UFSP2/ASCC1/NCOA2/DDX21/CMTR1/NCOA7/DHX29/PKN3"
"GO:0050789","regulation of biological process",39,0.831315471071082,2.52004356413744,1e-10,9.13333333333333e-10,4.21052631578947e-11,183,"tags=54%, list=6%, signal=51%","NEK9/ZNF598/MED15/MED1/PABPC1/UFL1/LARP1/EP300/PKN1/DDRGK1/TRIP4/STK3/UFSP2/PPP6R1/ASCC1/NCOA2/DDX21/NCOA7/ANKRD28/DHX29/PKN3"
"GO:0050794","regulation of cellular process",39,0.831315471071082,2.52004356413744,1e-10,9.13333333333333e-10,4.21052631578947e-11,183,"tags=54%, list=6%, signal=51%","NEK9/ZNF598/MED15/MED1/PABPC1/UFL1/LARP1/EP300/PKN1/DDRGK1/TRIP4/STK3/UFSP2/PPP6R1/ASCC1/NCOA2/DDX21/NCOA7/ANKRD28/DHX29/PKN3"
"GO:0065007","biological regulation",39,0.831315471071082,2.52004356413744,1e-10,9.13333333333333e-10,4.21052631578947e-11,183,"tags=54%, list=6%, signal=51%","NEK9/ZNF598/MED15/MED1/PABPC1/UFL1/LARP1/EP300/PKN1/DDRGK1/TRIP4/STK3/UFSP2/PPP6R1/ASCC1/NCOA2/DDX21/NCOA7/ANKRD28/DHX29/PKN3"
"GO:0009058","biosynthetic process",42,0.814414303725993,2.51289567451911,1e-10,9.13333333333333e-10,4.21052631578947e-11,161,"tags=45%, list=5%, signal=43%","ZNF598/MED15/ASCC3/MED1/PABPC1/UFL1/LARP1/EP300/PKN1/DDRGK1/TRIP4/STK3/UFSP2/ASCC1/NCOA2/DDX21/CMTR1/NCOA7/DHX29"
"GO:0009059","macromolecule biosynthetic process",42,0.814414303725993,2.51289567451911,1e-10,9.13333333333333e-10,4.21052631578947e-11,161,"tags=45%, list=5%, signal=43%","ZNF598/MED15/ASCC3/MED1/PABPC1/UFL1/LARP1/EP300/PKN1/DDRGK1/TRIP4/STK3/UFSP2/ASCC1/NCOA2/DDX21/CMTR1/NCOA7/DHX29"
"GO:0010467","gene expression",42,0.814414303725993,2.51289567451911,1e-10,9.13333333333333e-10,4.21052631578947e-11,161,"tags=45%, list=5%, signal=43%","ZNF598/MED15/ASCC3/MED1/PABPC1/UFL1/LARP1/EP300/PKN1/DDRGK1/TRIP4/STK3/UFSP2/ASCC1/NCOA2/DDX21/CMTR1/NCOA7/DHX29"
"GO:0008152","metabolic process",45,0.800037605594431,2.49806954202342,1e-10,9.13333333333333e-10,4.21052631578947e-11,183,"tags=44%, list=6%, signal=42%","ZNF598/MED15/ASCC3/MED1/PABPC1/UFL1/LARP1/EP300/PKN1/DDRGK1/TRIP4/STK3/UFSP2/ASCC1/NCOA2/DDX21/CMTR1/NCOA7/DHX29/PKN3"
"GO:0043170","macromolecule metabolic process",45,0.800037605594431,2.49806954202342,1e-10,9.13333333333333e-10,4.21052631578947e-11,183,"tags=44%, list=6%, signal=42%","ZNF598/MED15/ASCC3/MED1/PABPC1/UFL1/LARP1/EP300/PKN1/DDRGK1/TRIP4/STK3/UFSP2/ASCC1/NCOA2/DDX21/CMTR1/NCOA7/DHX29/PKN3"
"GO:0006139","nucleobase-containing compound metabolic process",36,0.81254481964987,2.42874818398653,1e-10,9.13333333333333e-10,4.21052631578947e-11,144,"tags=42%, list=5%, signal=40%","MED15/ASCC3/MED1/PABPC1/UFL1/LARP1/EP300/PKN1/DDRGK1/TRIP4/ASCC1/NCOA2/DDX21/CMTR1/NCOA7"
"GO:0090304","nucleic acid metabolic process",36,0.81254481964987,2.42874818398653,1e-10,9.13333333333333e-10,4.21052631578947e-11,144,"tags=42%, list=5%, signal=40%","MED15/ASCC3/MED1/PABPC1/UFL1/LARP1/EP300/PKN1/DDRGK1/TRIP4/ASCC1/NCOA2/DDX21/CMTR1/NCOA7"
"GO:0050896","response to stimulus",31,0.831864801781968,2.40606340523347,1e-10,9.13333333333333e-10,4.21052631578947e-11,183,"tags=55%, list=6%, signal=52%","NEK9/ASCC3/MED1/UFL1/LARP1/EP300/PKN1/DDRGK1/TRIP4/STK3/UFSP2/PPP6R1/ASCC1/NCOA2/DDX21/NCOA7/PKN3"
"GO:0051716","cellular response to stimulus",31,0.831864801781968,2.40606340523347,1e-10,9.13333333333333e-10,4.21052631578947e-11,183,"tags=55%, list=6%, signal=52%","NEK9/ASCC3/MED1/UFL1/LARP1/EP300/PKN1/DDRGK1/TRIP4/STK3/UFSP2/PPP6R1/ASCC1/NCOA2/DDX21/NCOA7/PKN3"
"GO:0048518","positive regulation of biological process",33,0.820893485565388,2.41959750409663,1.495987424717e-10,1.20558986580135e-09,5.55784801752445e-11,161,"tags=48%, list=5%, signal=46%","NEK9/MED15/MED1/PABPC1/UFL1/LARP1/EP300/PKN1/DDRGK1/TRIP4/STK3/NCOA2/DDX21/NCOA7/ANKRD28/DHX29"
"GO:0048522","positive regulation of cellular process",33,0.820893485565388,2.41959750409663,1.495987424717e-10,1.20558986580135e-09,5.55784801752445e-11,161,"tags=48%, list=5%, signal=46%","NEK9/MED15/MED1/PABPC1/UFL1/LARP1/EP300/PKN1/DDRGK1/TRIP4/STK3/NCOA2/DDX21/NCOA7/ANKRD28/DHX29"
"GO:0009889","regulation of biosynthetic process",32,0.823765539675569,2.40427970428549,3.16997633224619e-10,1.88820329355534e-09,8.70474050044721e-11,161,"tags=53%, list=5%, signal=51%","ZNF598/MED15/MED1/PABPC1/UFL1/LARP1/EP300/PKN1/DDRGK1/TRIP4/STK3/UFSP2/ASCC1/NCOA2/DDX21/NCOA7/DHX29"
"GO:0010468","regulation of gene expression",32,0.823765539675569,2.40427970428549,3.16997633224619e-10,1.88820329355534e-09,8.70474050044721e-11,161,"tags=53%, list=5%, signal=51%","ZNF598/MED15/MED1/PABPC1/UFL1/LARP1/EP300/PKN1/DDRGK1/TRIP4/STK3/UFSP2/ASCC1/NCOA2/DDX21/NCOA7/DHX29"
"GO:0010556","regulation of macromolecule biosynthetic process",32,0.823765539675569,2.40427970428549,3.16997633224619e-10,1.88820329355534e-09,8.70474050044721e-11,161,"tags=53%, list=5%, signal=51%","ZNF598/MED15/MED1/PABPC1/UFL1/LARP1/EP300/PKN1/DDRGK1/TRIP4/STK3/UFSP2/ASCC1/NCOA2/DDX21/NCOA7/DHX29"
"GO:0019222","regulation of metabolic process",32,0.823765539675569,2.40427970428549,3.16997633224619e-10,1.88820329355534e-09,8.70474050044721e-11,161,"tags=53%, list=5%, signal=51%","ZNF598/MED15/MED1/PABPC1/UFL1/LARP1/EP300/PKN1/DDRGK1/TRIP4/STK3/UFSP2/ASCC1/NCOA2/DDX21/NCOA7/DHX29"
"GO:0060255","regulation of macromolecule metabolic process",32,0.823765539675569,2.40427970428549,3.16997633224619e-10,1.88820329355534e-09,8.70474050044721e-11,161,"tags=53%, list=5%, signal=51%","ZNF598/MED15/MED1/PABPC1/UFL1/LARP1/EP300/PKN1/DDRGK1/TRIP4/STK3/UFSP2/ASCC1/NCOA2/DDX21/NCOA7/DHX29"
"GO:0080090","regulation of primary metabolic process",30,0.834552954100604,2.40189391451197,2.84455322021965e-10,1.88820329355534e-09,8.70474050044721e-11,161,"tags=53%, list=5%, signal=51%","ZNF598/MED15/MED1/PABPC1/UFL1/LARP1/EP300/PKN1/DDRGK1/TRIP4/UFSP2/ASCC1/NCOA2/DDX21/NCOA7/DHX29"
