"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0050896","response to stimulus",31,0.841726310768028,2.55075050475296,1e-10,2.28333333333333e-09,1.40350877192982e-10,55,"tags=52%, list=2%, signal=51%","PKN1/UFL1/EP300/ASCC2/NEK6/DDRGK1/PKN3/MED1/NCOA7/ASCC1/NCOA2/NEK9/ASCC3/UFSP2/NCOA1/WNK1"
"GO:0051716","cellular response to stimulus",31,0.841726310768028,2.55075050475296,1e-10,2.28333333333333e-09,1.40350877192982e-10,55,"tags=52%, list=2%, signal=51%","PKN1/UFL1/EP300/ASCC2/NEK6/DDRGK1/PKN3/MED1/NCOA7/ASCC1/NCOA2/NEK9/ASCC3/UFSP2/NCOA1/WNK1"
"GO:0050789","regulation of biological process",39,0.806630828190685,2.54126937842136,1e-10,2.28333333333333e-09,1.40350877192982e-10,55,"tags=46%, list=2%, signal=46%","PKN1/UFL1/EP300/ASCC2/NEK6/DDRGK1/PABPC1/PKN3/MED1/ANKRD28/NCOA7/ASCC1/NCOA2/NEK9/MED23/UFSP2/NCOA1/WNK1"
"GO:0050794","regulation of cellular process",39,0.806630828190685,2.54126937842136,1e-10,2.28333333333333e-09,1.40350877192982e-10,55,"tags=46%, list=2%, signal=46%","PKN1/UFL1/EP300/ASCC2/NEK6/DDRGK1/PABPC1/PKN3/MED1/ANKRD28/NCOA7/ASCC1/NCOA2/NEK9/MED23/UFSP2/NCOA1/WNK1"
"GO:0065007","biological regulation",39,0.806630828190685,2.54126937842136,1e-10,2.28333333333333e-09,1.40350877192982e-10,55,"tags=46%, list=2%, signal=46%","PKN1/UFL1/EP300/ASCC2/NEK6/DDRGK1/PABPC1/PKN3/MED1/ANKRD28/NCOA7/ASCC1/NCOA2/NEK9/MED23/UFSP2/NCOA1/WNK1"
"GO:0048583","regulation of response to stimulus",22,0.886737077516572,2.50863807989116,1e-10,2.28333333333333e-09,1.40350877192982e-10,55,"tags=55%, list=2%, signal=54%","PKN1/UFL1/EP300/NEK6/DDRGK1/MED1/NCOA7/NCOA2/NEK9/UFSP2/NCOA1/WNK1"
"GO:0008150","biological_process",50,0.723587044596968,2.43795708679847,5.94954513199639e-10,1.01885960385438e-08,6.26267908631199e-10,79,"tags=40%, list=3%, signal=40%","PKN1/UFL1/EP300/ASCC2/NEK6/DDRGK1/PABPC1/PKN3/MED1/ANKRD28/NCOA7/ASCC1/NCOA2/NEK9/ASCC3/MED23/UFSP2/NCOA1/WNK1/NEK1"
"GO:0009987","cellular process",50,0.723587044596968,2.43795708679847,5.94954513199639e-10,1.01885960385438e-08,6.26267908631199e-10,79,"tags=40%, list=3%, signal=40%","PKN1/UFL1/EP300/ASCC2/NEK6/DDRGK1/PABPC1/PKN3/MED1/ANKRD28/NCOA7/ASCC1/NCOA2/NEK9/ASCC3/MED23/UFSP2/NCOA1/WNK1/NEK1"
"GO:0008152","metabolic process",45,0.733850693858553,2.42784988542872,1.32296093474256e-09,1.51038040049776e-08,9.28393638415831e-10,79,"tags=40%, list=3%, signal=40%","PKN1/UFL1/EP300/ASCC2/NEK6/DDRGK1/PABPC1/PKN3/MED1/NCOA7/ASCC1/NCOA2/ASCC3/MED23/UFSP2/NCOA1/WNK1/NEK1"
"GO:0043170","macromolecule metabolic process",45,0.733850693858553,2.42784988542872,1.32296093474256e-09,1.51038040049776e-08,9.28393638415831e-10,79,"tags=40%, list=3%, signal=40%","PKN1/UFL1/EP300/ASCC2/NEK6/DDRGK1/PABPC1/PKN3/MED1/NCOA7/ASCC1/NCOA2/ASCC3/MED23/UFSP2/NCOA1/WNK1/NEK1"
"GO:0009966","regulation of signal transduction",19,0.888551320300909,2.42630587092546,1.20696052594384e-09,1.51038040049776e-08,9.28393638415831e-10,55,"tags=58%, list=2%, signal=57%","PKN1/UFL1/EP300/NEK6/DDRGK1/MED1/NCOA2/NEK9/UFSP2/NCOA1/WNK1"
"GO:0044238","primary metabolic process",44,0.7350172242982,2.41258713542039,1.07167518615453e-09,1.51038040049776e-08,9.28393638415831e-10,79,"tags=41%, list=3%, signal=40%","PKN1/UFL1/EP300/ASCC2/NEK6/DDRGK1/PABPC1/PKN3/MED1/NCOA7/ASCC1/NCOA2/ASCC3/MED23/UFSP2/NCOA1/WNK1/NEK1"
"GO:0006950","response to stress",24,0.849993455487017,2.43086409227109,2.47471251159375e-09,2.53641362948484e-08,1.55907099776248e-09,55,"tags=50%, list=2%, signal=49%","PKN1/UFL1/EP300/ASCC2/NEK6/DDRGK1/MED1/NCOA7/ASCC1/NEK9/ASCC3/WNK1"
"GO:0050776","regulation of immune response",11,0.955894449241381,2.27499721019772,2.59195553378013e-09,2.53641362948484e-08,1.55907099776248e-09,55,"tags=64%, list=2%, signal=63%","PKN1/UFL1/EP300/DDRGK1/MED1/NEK9/WNK1"
"GO:0019219","regulation of nucleobase-containing compound metabolic process",26,0.820735957841325,2.42166425016109,4.84094782417312e-09,2.82037290278564e-08,1.73361377044066e-09,152,"tags=54%, list=5%, signal=52%","PKN1/UFL1/EP300/ASCC2/DDRGK1/PABPC1/MED1/NCOA7/ASCC1/NCOA2/MED23/NCOA1/WNK1/TRIP4"
"GO:0051252","regulation of RNA metabolic process",26,0.820735957841325,2.42166425016109,4.84094782417312e-09,2.82037290278564e-08,1.73361377044066e-09,152,"tags=54%, list=5%, signal=52%","PKN1/UFL1/EP300/ASCC2/DDRGK1/PABPC1/MED1/NCOA7/ASCC1/NCOA2/MED23/NCOA1/WNK1/TRIP4"
"GO:0010646","regulation of cell communication",20,0.874283357225003,2.39803177772198,5.81108730145531e-09,2.82037290278564e-08,1.73361377044066e-09,55,"tags=55%, list=2%, signal=54%","PKN1/UFL1/EP300/NEK6/DDRGK1/MED1/NCOA2/NEK9/UFSP2/NCOA1/WNK1"
"GO:0023051","regulation of signaling",20,0.874283357225003,2.39803177772198,5.81108730145531e-09,2.82037290278564e-08,1.73361377044066e-09,55,"tags=55%, list=2%, signal=54%","PKN1/UFL1/EP300/NEK6/DDRGK1/MED1/NCOA2/NEK9/UFSP2/NCOA1/WNK1"
