"Gene","Entry.Name","UniProt.ID","Description","logFC","P.Val","adj.P.Val","log.P.Val","log.adj.P.Val","n_data_points_BK516_Ctrl","n_data_points_BK516_Cflag","imputed_BK516_Cflag","imputed_BK516_Ctrl","is_significant"
"GENE0501","GENE0501_HUMAN","P91183","Protein GENE0501",-0.6219,1,0.334706,0,0.4753,2,4,FALSE,FALSE,FALSE
"GENE0435","GENE0435_HUMAN","P05904","Protein GENE0435",0.3629,0.188416,0.104444,0.4135,0.9811,2,5,FALSE,FALSE,FALSE
"GENE2804","GENE2804_HUMAN","P40254","Protein GENE2804",0.6486,1,0.750921,0.0157,0.1244,6,2,FALSE,FALSE,FALSE
"GENE0452","GENE0452_HUMAN","P56930","Protein GENE0452",0.53,0.451585,0.206559,0.3622,0.685,2,3,FALSE,FALSE,FALSE
"GENE0785","GENE0785_HUMAN","P35903","Protein GENE0785",-0.8257,0.225302,0.047851,0.6389,1.3201,5,3,FALSE,FALSE,TRUE
"GENE2599","GENE2599_HUMAN","P93099","Protein GENE2599",0.1852,1,0.33,0.2193,0.4815,2,2,TRUE,FALSE,FALSE
"DHX15","DHX15_HUMAN","P12837","Protein DHX15",-0.4377,1,0.621991,0,0.2062,6,4,FALSE,FALSE,FALSE
"GENE1734","GENE1734_HUMAN","P14970","Protein GENE1734",-0.1645,1,0.994326,0,0.0025,4,6,FALSE,FALSE,FALSE
"GENE1477","GENE1477_HUMAN","P76069","Protein GENE1477",0.326,0.857774,0.298178,0.3172,0.5255,3,3,FALSE,FALSE,FALSE
"GENE0804","GENE0804_HUMAN","P30810","Protein GENE0804",0.6954,1,0.261133,0.5604,0.5831,4,6,FALSE,FALSE,FALSE
"GENE2511","GENE2511_HUMAN","P01123","Protein GENE2511",-0.1781,1,0.465862,0,0.3317,6,2,FALSE,FALSE,FALSE
"GENE2331","GENE2331_HUMAN","P68903","Protein GENE2331",0.0567,1,0.567641,0,0.2459,2,2,FALSE,FALSE,FALSE
"GENE1418","GENE1418_HUMAN","P01870","Protein GENE1418",-0.2868,0.172963,0.106689,0.5834,0.9719,3,6,FALSE,FALSE,FALSE
"GENE0912","GENE0912_HUMAN","P99080","Protein GENE0912",-0.0031,1,0.235428,0.4122,0.6281,3,3,FALSE,FALSE,FALSE
"GENE1221","GENE1221_HUMAN","P93588","Protein GENE1221",-0.5538,1,0.500514,0,0.3006,2,2,FALSE,FALSE,FALSE
