"Gene","Entry.Name","UniProt.ID","Description","logFC","P.Val","adj.P.Val","log.P.Val","log.adj.P.Val","n_data_points_BK516_Ctrl","n_data_points_BK516_Cflag","imputed_BK516_Cflag","imputed_BK516_Ctrl","is_significant"
"GENE2629","GENE2629_HUMAN","P93917","Protein GENE2629",0.1485,1,0.629307,0,0.2011,4,3,TRUE,FALSE,FALSE
"GENE1214","GENE1214_HUMAN","P91420","Protein GENE1214",0.2178,1,0.8947,0,0.0483,2,2,FALSE,TRUE,FALSE
"GENE1208","GENE1208_HUMAN","P33101","Protein GENE1208",-0.4964,0.728937,0.152262,0.4707,0.8174,5,4,FALSE,FALSE,FALSE
"GENE2541","GENE2541_HUMAN","P33993","Protein GENE2541",-0.255,1,0.75675,0,0.121,3,6,FALSE,FALSE,FALSE
"GENE2134","GENE2134_HUMAN","P32276","Protein GENE2134",0.0933,0.721454,0.365045,0,0.4377,6,4,FALSE,FALSE,FALSE
"GENE2334","GENE2334_HUMAN","P76294","Protein GENE2334",-0.0353,0.757523,0.754676,0,0.1222,4,6,TRUE,FALSE,FALSE
"GENE0643","GENE0643_HUMAN","P70147","Protein GENE0643",0.2709,1,0.418973,0,0.3778,4,6,FALSE,TRUE,FALSE
"GENE0110","GENE0110_HUMAN","P87698","Protein GENE0110",-0.3445,0.832898,0.530092,0,0.2756,2,2,FALSE,FALSE,FALSE
"GENE2314","GENE2314_HUMAN","P42427","Protein GENE2314",0.1345,0.532111,0.161024,0.5766,0.7931,4,5,FALSE,FALSE,FALSE
"GENE1682","GENE1682_HUMAN","P64357","Protein GENE1682",-0.4648,1,0.87935,0,0.0558,4,3,FALSE,FALSE,FALSE
"GENE2835","GENE2835_HUMAN","P32056","Protein GENE2835",0.1544,1,0.519404,0,0.2845,3,2,FALSE,FALSE,FALSE
"GENE1288","GENE1288_HUMAN","P90759","Protein GENE1288",0.0552,0.305146,0.120584,0.8922,0.9187,5,6,FALSE,FALSE,FALSE
"GENE0928","GENE0928_HUMAN","P77344","Protein GENE0928",-0.2044,1,0.954615,0,0.0202,5,4,FALSE,FALSE,FALSE
"GENE1348","GENE1348_HUMAN","P22314","Protein GENE1348",-0.4189,1,0.551526,0,0.2584,3,6,FALSE,FALSE,FALSE
"GENE1958","GENE1958_HUMAN","P33650","Protein GENE1958",0.3493,1,0.929201,0,0.0319,5,5,FALSE,FALSE,FALSE
"GENE1282","GENE1282_HUMAN","P85946","Protein GENE1282",0.3676,1,0.722901,0,0.1409,6,5,FALSE,FALSE,FALSE
"GENE1983","GENE1983_HUMAN","P52161","Protein GENE1983",-0.2475,0.667656,0.414838,0,0.3821,5,6,TRUE,FALSE,FALSE
"GENE2370","GENE2370_HUMAN","P97484","Protein GENE2370",-0.899,0.995238,0.919751,0,0.0363,4,5,FALSE,FALSE,FALSE
"GENE1836","GENE1836_HUMAN","P94774","Protein GENE1836",0.3872,1,0.845542,0,0.0729,6,6,FALSE,FALSE,FALSE
"GENE1116","GENE1116_HUMAN","P40716","Protein GENE1116",-0.824,1,0.404117,0,0.3935,5,5,FALSE,FALSE,FALSE
"GENE0998","GENE0998_HUMAN","P46379","Protein GENE0998",1.7661,0.008226,0.00199,2.2812,2.7011,6,6,FALSE,FALSE,TRUE
"GENE1698","GENE1698_HUMAN","P91329","Protein GENE1698",-0.0693,1,0.871925,0,0.0595,2,2,FALSE,FALSE,FALSE
"GENE0280","GENE0280_HUMAN","P62424","Protein GENE0280",-0.0447,1,0.906467,0,0.0426,2,2,FALSE,FALSE,FALSE
"GENE0845","GENE0845_HUMAN","P33086","Protein GENE0845",-0.4171,0.332768,0.091712,0.5726,1.0376,2,6,FALSE,FALSE,FALSE
"GENE0990","GENE0990_HUMAN","P76370","Protein GENE0990",-0.0966,0.308601,0.217976,0.0898,0.6616,6,3,FALSE,TRUE,FALSE
"GENE0877","GENE0877_HUMAN","P42594","Protein GENE0877",0.0554,1,0.778522,0,0.1087,4,6,FALSE,FALSE,FALSE
"GENE0672","GENE0672_HUMAN","P93772","Protein GENE0672",-0.278,1,0.423727,0,0.3729,2,3,FALSE,FALSE,FALSE
"GENE1360","GENE1360_HUMAN","P10885","Protein GENE1360",3.8752,0.028837,0.008619,1.5482,2.0645,5,4,FALSE,FALSE,TRUE
"GENE1333","GENE1333_HUMAN","P31005","Protein GENE1333",-0.3563,1,0.399769,0.3841,0.3982,4,3,FALSE,FALSE,FALSE
"GENE2232","GENE2232_HUMAN","P20275","Protein GENE2232",0.1394,1,0.744669,0,0.128,4,6,FALSE,TRUE,FALSE
"GENE1552","GENE1552_HUMAN","P21754","Protein GENE1552",-0.0521,0.393379,0.118403,0.2916,0.9266,4,5,FALSE,FALSE,FALSE
"GENE1171","GENE1171_HUMAN","P25818","Protein GENE1171",1.9422,0.024102,0.014858,1.7209,1.828,5,2,FALSE,FALSE,TRUE
"GENE0306","GENE0306_HUMAN","P88373","Protein GENE0306",0.1632,1,0.232388,0,0.6338,2,4,FALSE,FALSE,FALSE
"GENE0684","GENE0684_HUMAN","P93266","Protein GENE0684",-0.6335,1,0.679148,0,0.168,6,4,FALSE,FALSE,FALSE
"GENE1601","GENE1601_HUMAN","P97112","Protein GENE1601",0.0538,0.325764,0.317052,0,0.4989,2,5,FALSE,FALSE,FALSE
