"Gene","Entry.Name","UniProt.ID","Description","logFC","P.Val","adj.P.Val","log.P.Val","log.adj.P.Val","n_data_points_BK516_Ctrl","n_data_points_BK516_Cflag","imputed_BK516_Cflag","imputed_BK516_Ctrl","is_significant"
"GENE1280","GENE1280_HUMAN","P93747","Protein GENE1280",-0.7386,1,0.607901,0,0.2162,5,6,FALSE,FALSE,FALSE
"GENE1297","GENE1297_HUMAN","P12271","Protein GENE1297",0.3167,0.50425,0.221729,0.3682,0.6542,4,2,FALSE,FALSE,FALSE
"GENE2149","GENE2149_HUMAN","P17620","Protein GENE2149",0.3718,0.556736,0.193782,0.0237,0.7127,6,6,FALSE,FALSE,FALSE
"GENE1571","GENE1571_HUMAN","P08691","Protein GENE1571",0.4607,1,0.572035,0,0.2426,4,5,FALSE,FALSE,FALSE
"GENE0250","GENE0250_HUMAN","P77301","Protein GENE0250",-0.1082,1,0.859651,0,0.0657,2,4,FALSE,FALSE,FALSE
"GENE1265","GENE1265_HUMAN","P12812","Protein GENE1265",-0.0311,0.338691,0.324738,0.1303,0.4885,3,2,FALSE,FALSE,FALSE
"GENE1636","GENE1636_HUMAN","P30327","Protein GENE1636",-0.5903,0.85104,0.171249,0.1435,0.7664,5,4,FALSE,FALSE,FALSE
"GENE0970","GENE0970_HUMAN","P74745","Protein GENE0970",0.0513,0.300352,0.197191,0.2724,0.7051,6,6,FALSE,FALSE,FALSE
"GENE2814","GENE2814_HUMAN","P86293","Protein GENE2814",-0.2511,1,0.847468,0,0.0719,2,5,FALSE,FALSE,FALSE
"GENE1581","GENE1581_HUMAN","P84526","Protein GENE1581",0.2457,0.809683,0.432885,0,0.3636,5,3,FALSE,FALSE,FALSE
"GENE1374","GENE1374_HUMAN","P07780","Protein GENE1374",-0.0848,1,0.397753,0.2759,0.4004,2,4,FALSE,FALSE,FALSE
"GENE0884","GENE0884_HUMAN","P65829","Protein GENE0884",0.2823,1,0.884571,0,0.0533,4,5,FALSE,FALSE,FALSE
"GENE2255","GENE2255_HUMAN","P28173","Protein GENE2255",-0.0834,1,0.570953,0,0.2434,4,4,FALSE,FALSE,FALSE
"GENE0336","GENE0336_HUMAN","P22638","Protein GENE0336",0.0627,0.110215,0.082488,0.6391,1.0836,3,6,FALSE,FALSE,FALSE
"GENE0828","GENE0828_HUMAN","P32828","Protein GENE0828",0.1057,1,0.913979,0,0.0391,4,5,FALSE,FALSE,FALSE
"GENE0678","GENE0678_HUMAN","P52453","Protein GENE0678",-0.1295,1,0.66763,0.0872,0.1755,5,2,FALSE,FALSE,FALSE
"GENE1444","GENE1444_HUMAN","P11399","Protein GENE1444",-0.3786,0.964289,0.290313,0.013,0.5371,6,5,FALSE,FALSE,FALSE
"GENE0998","GENE0998_HUMAN","P32327","Protein GENE0998",0.4217,1,0.322096,0.0357,0.492,3,3,FALSE,FALSE,FALSE
"GENE1364","GENE1364_HUMAN","P99082","Protein GENE1364",-0.004,1,0.796575,0,0.0988,2,2,FALSE,FALSE,FALSE
"GENE0808","GENE0808_HUMAN","P51528","Protein GENE0808",0.4144,0.130663,0.128717,0.7131,0.8904,4,4,FALSE,FALSE,FALSE
"GENE1647","GENE1647_HUMAN","P00021","Protein GENE1647",-0.1553,0.216059,0.105583,0.5448,0.9764,4,5,FALSE,FALSE,FALSE
"GENE1401","GENE1401_HUMAN","P87477","Protein GENE1401",-0.0059,0.237906,0.114689,0.3215,0.9405,4,5,FALSE,FALSE,FALSE
"GENE0098","GENE0098_HUMAN","P59461","Protein GENE0098",-0.1871,1,0.49738,0,0.3033,6,3,FALSE,FALSE,FALSE
