"Gene","Entry.Name","UniProt.ID","Description","logFC","P.Val","adj.P.Val","log.P.Val","log.adj.P.Val","n_data_points_BK516_Ctrl","n_data_points_BK516_Cflag","imputed_BK516_Cflag","imputed_BK516_Ctrl","is_significant"
"GENE2749","GENE2749_HUMAN","P48471","Protein GENE2749",0.1364,1,0.69813,0,0.1561,5,3,FALSE,FALSE,FALSE
"GENE0668","GENE0668_HUMAN","P37403","Protein GENE0668",0.2779,1,0.988547,0,0.005,6,5,FALSE,TRUE,FALSE
"GENE2771","GENE2771_HUMAN","P42104","Protein GENE2771",-0.1647,1,0.396557,0,0.4017,4,5,FALSE,FALSE,FALSE
"GENE0244","GENE0244_HUMAN","P54225","Protein GENE0244",0.1925,1,0.897852,0,0.0468,4,5,TRUE,FALSE,FALSE
"GENE1090","GENE1090_HUMAN","P23840","Protein GENE1090",0.191,0.58323,0.207546,0.2104,0.6829,2,4,FALSE,FALSE,FALSE
"GENE1463","GENE1463_HUMAN","P02885","Protein GENE1463",-2.7999,0.000772,0.000649,2.8799,3.1877,2,5,FALSE,FALSE,TRUE
"GENE0293","GENE0293_HUMAN","P32606","Protein GENE0293",0.4493,1,0.654545,0,0.1841,3,5,FALSE,FALSE,FALSE
"GENE0564","GENE0564_HUMAN","P41266","Protein GENE0564",-0.2153,1,0.507722,0,0.2944,6,3,TRUE,FALSE,FALSE
"GENE0411","GENE0411_HUMAN","P91143","Protein GENE0411",-0.2777,0.670482,0.33982,0.0713,0.4688,6,5,FALSE,FALSE,FALSE
"GENE0153","GENE0153_HUMAN","P71473","Protein GENE0153",-0.3184,1,0.667238,0,0.1757,4,6,FALSE,FALSE,FALSE
"GENE0365","GENE0365_HUMAN","P75294","Protein GENE0365",0.5551,1,0.976346,0,0.0104,3,4,FALSE,FALSE,FALSE
"GENE1417","GENE1417_HUMAN","P34722","Protein GENE1417",-0.2531,0.299065,0.164023,0.5457,0.7851,6,3,FALSE,TRUE,FALSE
"GENE1676","GENE1676_HUMAN","P77320","Protein GENE1676",-0.2331,1,0.652777,0,0.1852,4,2,FALSE,FALSE,FALSE
"GENE1631","GENE1631_HUMAN","P76831","Protein GENE1631",0.0319,0.824368,0.546757,0,0.2622,4,3,FALSE,FALSE,FALSE
"GENE2794","GENE2794_HUMAN","P84060","Protein GENE2794",0.029,1,0.570394,0,0.2438,3,4,FALSE,FALSE,FALSE
"GENE1130","GENE1130_HUMAN","P50015","Protein GENE1130",0.567,1,0.849924,0,0.0706,3,6,FALSE,FALSE,FALSE
"GENE2166","GENE2166_HUMAN","P06315","Protein GENE2166",-0.0507,1,0.972561,0,0.0121,6,5,FALSE,FALSE,FALSE
"GENE1734","GENE1734_HUMAN","P36848","Protein GENE1734",-0.1679,1,0.545807,0,0.263,2,2,FALSE,FALSE,FALSE
"GENE1706","GENE1706_HUMAN","P88719","Protein GENE1706",0.1595,1,0.463894,0,0.3336,4,3,FALSE,TRUE,FALSE
"GENE2050","GENE2050_HUMAN","P35648","Protein GENE2050",-0.4066,0.495431,0.231363,0.1857,0.6357,2,6,FALSE,FALSE,FALSE
"GENE0641","GENE0641_HUMAN","P36095","Protein GENE0641",0.3229,1,0.781893,0,0.1069,2,5,FALSE,FALSE,FALSE
"PKN3","PKN3_HUMAN","P62540","Protein PKN3",-0.1114,1,0.367158,0,0.4351,3,2,FALSE,FALSE,FALSE
"GENE2573","GENE2573_HUMAN","P53725","Protein GENE2573",0.0015,1,0.619445,0,0.208,4,2,TRUE,FALSE,FALSE
"GENE0192","GENE0192_HUMAN","P64237","Protein GENE0192",-0.3259,1,0.873908,0,0.0585,4,6,FALSE,FALSE,FALSE
"GENE2020","GENE2020_HUMAN","P05120","Protein GENE2020",2.6315,0.018752,0.006023,1.5683,2.2202,3,3,TRUE,FALSE,TRUE
"GENE0080","GENE0080_HUMAN","P62909","Protein GENE0080",0.4992,0.608042,0.549052,0.1241,0.2604,5,5,TRUE,FALSE,FALSE
"GENE1723","GENE1723_HUMAN","P57627","Protein GENE1723",0.4515,0.623044,0.147483,0.5245,0.8313,2,2,FALSE,FALSE,FALSE
"GENE2650","GENE2650_HUMAN","P43606","Protein GENE2650",1.8188,0.081302,0.019814,1.6403,1.703,3,4,FALSE,TRUE,TRUE
"SUGP1","SUGP1_HUMAN","P60166","Protein SUGP1",-0.4468,1,0.544505,0,0.264,6,3,FALSE,FALSE,FALSE
"GENE1584","GENE1584_HUMAN","P65556","Protein GENE1584",0.1982,0.754028,0.384793,0,0.4148,2,4,FALSE,FALSE,FALSE
"GENE1842","GENE1842_HUMAN","P89348","Protein GENE1842",0.1244,1,0.60609,0.1334,0.2175,3,3,FALSE,FALSE,FALSE
"GENE1293","GENE1293_HUMAN","P94940","Protein GENE1293",-0.034,0.988157,0.209504,0.2362,0.6788,6,5,FALSE,FALSE,FALSE
"GENE2228","GENE2228_HUMAN","P40516","Protein GENE2228",3.8252,0.047531,0.013586,1.3458,1.8669,2,6,FALSE,FALSE,TRUE
"GENE0518","GENE0518_HUMAN","P52100","Protein GENE0518",0.0011,1,0.808085,0,0.0925,5,4,FALSE,FALSE,FALSE
"GENE1873","GENE1873_HUMAN","P68855","Protein GENE1873",0.8666,1,0.880196,0,0.0554,5,2,TRUE,FALSE,FALSE
"GENE0145","GENE0145_HUMAN","P01771","Protein GENE0145",-0.2428,1,0.656468,0,0.1828,4,6,TRUE,FALSE,FALSE
"GENE1573","GENE1573_HUMAN","P63750","Protein GENE1573",-0.0624,1,0.650523,0,0.1867,2,4,FALSE,FALSE,FALSE
