"Gene","Entry.Name","UniProt.ID","Description","logFC","P.Val","adj.P.Val","log.P.Val","log.adj.P.Val","n_data_points_BK516_Ctrl","n_data_points_BK516_Cflag","imputed_BK516_Cflag","imputed_BK516_Ctrl","is_significant"
"GENE1099","GENE1099_HUMAN","P33132","Protein GENE1099",-0.3197,1,0.532923,0,0.2733,2,6,FALSE,FALSE,FALSE
"GENE2720","GENE2720_HUMAN","P80258","Protein GENE2720",-0.1922,1,0.772178,0,0.1123,4,3,TRUE,FALSE,FALSE
"GENE2829","GENE2829_HUMAN","P20886","Protein GENE2829",0.5566,0.03924,0.033623,1.3171,1.4734,5,5,FALSE,FALSE,TRUE
"GENE0006","GENE0006_HUMAN","P69703","Protein GENE0006",0.3249,1,0.615271,0,0.2109,3,6,FALSE,TRUE,FALSE
"GENE0796","GENE0796_HUMAN","P50013","Protein GENE0796",3.0997,0.021818,0.004745,2.0832,2.3238,5,6,FALSE,FALSE,TRUE
"GENE2492","GENE2492_HUMAN","P67722","Protein GENE2492",1.0144,0.174911,0.039233,1.2385,1.4063,4,3,FALSE,FALSE,TRUE
"GENE2059","GENE2059_HUMAN","P80275","Protein GENE2059",0.2374,1,0.534555,0.2356,0.272,4,3,FALSE,FALSE,FALSE
"GENE1560","GENE1560_HUMAN","P06643","Protein GENE1560",-0.887,1,0.886367,0,0.0524,4,4,FALSE,FALSE,FALSE
"GENE1140","GENE1140_HUMAN","P30790","Protein GENE1140",-0.9025,1,0.313032,0,0.5044,2,2,FALSE,FALSE,FALSE
"GENE2612","GENE2612_HUMAN","P07834","Protein GENE2612",-0.1094,0.236727,0.075374,0.7037,1.1228,3,2,FALSE,FALSE,FALSE
"GENE0565","GENE0565_HUMAN","P79985","Protein GENE0565",-0.5529,1,0.731377,0,0.1359,3,6,FALSE,FALSE,FALSE
"GENE2386","GENE2386_HUMAN","P16852","Protein GENE2386",0.2647,0.90478,0.816381,0,0.0881,3,2,FALSE,FALSE,FALSE
"GENE2383","GENE2383_HUMAN","P92087","Protein GENE2383",-0.2399,1,0.692674,0,0.1595,4,4,TRUE,FALSE,FALSE
"GENE0279","GENE0279_HUMAN","P36958","Protein GENE0279",-0.207,1,0.41916,0,0.3776,4,4,TRUE,FALSE,FALSE
"GENE0862","GENE0862_HUMAN","P07884","Protein GENE0862",0.3202,1,0.50471,0,0.297,6,2,FALSE,FALSE,FALSE
"GENE2311","GENE2311_HUMAN","P73092","Protein GENE2311",-1.2019,0.923789,0.82621,0,0.0829,3,3,FALSE,FALSE,FALSE
"GENE0408","GENE0408_HUMAN","P35863","Protein GENE0408",0.5489,1,0.595304,0,0.2253,5,6,FALSE,FALSE,FALSE
"GENE0020","GENE0020_HUMAN","P45199","Protein GENE0020",-0.3816,0.577515,0.254405,0,0.5945,3,5,FALSE,FALSE,FALSE
"GENE0511","GENE0511_HUMAN","P13489","Protein GENE0511",0.2352,1,0.953271,0,0.0208,2,5,TRUE,FALSE,FALSE
"GENE2503","GENE2503_HUMAN","P36846","Protein GENE2503",0.7863,1,0.429474,0.2803,0.3671,2,4,FALSE,FALSE,FALSE
"GENE2780","GENE2780_HUMAN","P11316","Protein GENE2780",0.1419,1,0.861313,0,0.0648,5,5,FALSE,FALSE,FALSE
"GENE1404","GENE1404_HUMAN","P76716","Protein GENE1404",-0.285,1,0.319509,0.0311,0.4955,4,6,TRUE,FALSE,FALSE
"GENE0622","GENE0622_HUMAN","P23642","Protein GENE0622",0.5774,1,0.44199,0.0997,0.3546,3,2,FALSE,FALSE,FALSE
"GENE0241","GENE0241_HUMAN","P58430","Protein GENE0241",-2.2327,0.090106,0.047269,0.8203,1.3254,5,3,FALSE,FALSE,TRUE
"GENE1187","GENE1187_HUMAN","P98415","Protein GENE1187",0.3629,1,0.558317,0,0.2531,5,6,FALSE,FALSE,FALSE
"GENE2360","GENE2360_HUMAN","P67022","Protein GENE2360",0.3405,0.986255,0.935348,0,0.029,5,3,FALSE,FALSE,FALSE
"GENE1240","GENE1240_HUMAN","P26044","Protein GENE1240",-0.2892,0.686238,0.228453,0.3769,0.6412,6,4,FALSE,FALSE,FALSE
"GENE1883","GENE1883_HUMAN","P16598","Protein GENE1883",0.7677,1,0.811177,0.0384,0.0909,4,3,FALSE,FALSE,FALSE
"GENE1259","GENE1259_HUMAN","P50730","Protein GENE1259",-0.2667,1,0.281747,0.3063,0.5501,6,3,FALSE,FALSE,FALSE
"GENE1182","GENE1182_HUMAN","P98695","Protein GENE1182",0.4907,1,0.640525,0,0.1935,4,3,TRUE,FALSE,FALSE
"GENE1122","GENE1122_HUMAN","P45898","Protein GENE1122",0.1689,1,0.984331,0,0.0069,3,4,FALSE,FALSE,FALSE
"GENE1164","GENE1164_HUMAN","P38648","Protein GENE1164",-0.9028,0.179171,0.175279,0.0749,0.7563,4,6,FALSE,FALSE,FALSE
"GENE2287","GENE2287_HUMAN","P37006","Protein GENE2287",0.3703,1,0.697726,0,0.1563,6,6,FALSE,FALSE,FALSE
"GENE1368","GENE1368_HUMAN","P48939","Protein GENE1368",-0.1891,1,0.495755,0,0.3047,5,4,FALSE,FALSE,FALSE
