"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0045935","positive regulation of nucleobase-containing compound metabolic process",21,0.860622011006978,2.30517166473637,9.1817972094666e-09,3.14476554424231e-07,3.38276739296138e-08,148,"tags=57%, list=5%, signal=55%","TRIP4/DHX36/MED1/PABPC1/WNK1/FMR1/NCOA2/NCOA3/DDRGK1/MED15/PKN1/EP300"
"GO:0051254","positive regulation of RNA metabolic process",21,0.860622011006978,2.30517166473637,9.1817972094666e-09,3.14476554424231e-07,3.38276739296138e-08,148,"tags=57%, list=5%, signal=55%","TRIP4/DHX36/MED1/PABPC1/WNK1/FMR1/NCOA2/NCOA3/DDRGK1/MED15/PKN1/EP300"
"GO:0019538","protein metabolic process",23,0.841996653693886,2.28038275886904,7.10469942082818e-09,3.14476554424231e-07,3.38276739296138e-08,148,"tags=70%, list=5%, signal=67%","TRIP4/DHX36/UFSP2/ASCC2/MED1/PABPC1/WNK1/FMR1/PKN3/NCOA3/ASCC3/DDRGK1/NEK6/PKN1/NEK1/EP300"
"GO:0044238","primary metabolic process",44,0.728296115641612,2.23028039802314,7.64773016317333e-09,3.14476554424231e-07,3.38276739296138e-08,148,"tags=43%, list=5%, signal=42%","TRIP4/DHX36/UFSP2/ASCC2/MED1/PABPC1/WNK1/FMR1/PKN3/NCOA2/NCOA3/ASCC3/DDRGK1/ASCC1/NEK6/MED15/PKN1/NEK1/EP300"
"GO:0071840","cellular component organization or biogenesis",29,0.79975521740508,2.29675985933458,2.19814979716502e-08,5.37581638937458e-07,5.7826684173065e-08,192,"tags=59%, list=7%, signal=55%","TRIP4/DHX36/UFSP2/ASCC2/MED1/ANKRD28/WNK1/FMR1/NCOA3/ASCC3/DDRGK1/NEK6/MED15/PKN1/NEK1/EP300/NEK9"
"GO:0016043","cellular component organization",28,0.805323994838272,2.29401614679696,2.93809988350525e-08,5.37581638937458e-07,5.7826684173065e-08,192,"tags=61%, list=7%, signal=57%","TRIP4/DHX36/UFSP2/ASCC2/MED1/ANKRD28/WNK1/FMR1/NCOA3/ASCC3/DDRGK1/NEK6/MED15/PKN1/NEK1/EP300/NEK9"
"GO:0050789","regulation of biological process",39,0.736031040526301,2.2238012087794,3.889172920109e-08,5.37581638937458e-07,5.7826684173065e-08,192,"tags=49%, list=7%, signal=46%","TRIP4/DHX36/UFSP2/ASCC2/MED1/PABPC1/ANKRD28/WNK1/FMR1/PKN3/NCOA2/NCOA3/DDRGK1/ASCC1/NEK6/MED15/PKN1/EP300/NEK9"
"GO:0050794","regulation of cellular process",39,0.736031040526301,2.2238012087794,3.889172920109e-08,5.37581638937458e-07,5.7826684173065e-08,192,"tags=49%, list=7%, signal=46%","TRIP4/DHX36/UFSP2/ASCC2/MED1/PABPC1/ANKRD28/WNK1/FMR1/PKN3/NCOA2/NCOA3/DDRGK1/ASCC1/NEK6/MED15/PKN1/EP300/NEK9"
"GO:0065007","biological regulation",39,0.736031040526301,2.2238012087794,3.889172920109e-08,5.37581638937458e-07,5.7826684173065e-08,192,"tags=49%, list=7%, signal=46%","TRIP4/DHX36/UFSP2/ASCC2/MED1/PABPC1/ANKRD28/WNK1/FMR1/PKN3/NCOA2/NCOA3/DDRGK1/ASCC1/NEK6/MED15/PKN1/EP300/NEK9"
"GO:0008152","metabolic process",45,0.719089651866446,2.20671729997718,4.31634892577521e-08,5.37581638937458e-07,5.7826684173065e-08,148,"tags=42%, list=5%, signal=41%","TRIP4/DHX36/UFSP2/ASCC2/MED1/PABPC1/WNK1/FMR1/PKN3/NCOA2/NCOA3/ASCC3/DDRGK1/ASCC1/NEK6/MED15/PKN1/NEK1/EP300"
