"Gene","Entry.Name","UniProt.ID","Description","logFC","P.Val","adj.P.Val","log.P.Val","log.adj.P.Val","n_data_points_BK516_Ctrl","n_data_points_BK516_Cflag","imputed_BK516_Cflag","imputed_BK516_Ctrl","is_significant"
"GENE0267","GENE0267_HUMAN","P95414","Protein GENE0267",-0.367,0.362174,0.09256,0.6324,1.0336,2,2,FALSE,FALSE,FALSE
"GENE0247","GENE0247_HUMAN","P45321","Protein GENE0247",-0.1681,1,0.337084,0.058,0.4723,5,2,FALSE,FALSE,FALSE
"GENE2057","GENE2057_HUMAN","P78414","Protein GENE2057",-0.2356,1,0.49186,0.2613,0.3082,6,6,FALSE,FALSE,FALSE
"GENE2033","GENE2033_HUMAN","P70852","Protein GENE2033",4.4824,0.029759,0.010237,1.491,1.9898,5,5,FALSE,FALSE,TRUE
"GENE2653","GENE2653_HUMAN","P36289","Protein GENE2653",-0.1329,0.476128,0.119977,0.4908,0.9209,3,4,FALSE,TRUE,FALSE
"GENE1984","GENE1984_HUMAN","P13297","Protein GENE1984",-0.0696,1,0.308692,0.0255,0.5105,2,3,FALSE,FALSE,FALSE
"GENE2383","GENE2383_HUMAN","P02366","Protein GENE2383",0.1826,1,0.669108,0,0.1745,2,3,FALSE,FALSE,FALSE
"GENE1670","GENE1670_HUMAN","P89470","Protein GENE1670",-0.1828,0.385227,0.080398,0.6399,1.0948,2,4,TRUE,FALSE,FALSE
"GENE2177","GENE2177_HUMAN","P23578","Protein GENE2177",-0.3244,0.557462,0.376257,0,0.4245,2,4,FALSE,FALSE,FALSE
"GENE0739","GENE0739_HUMAN","P65501","Protein GENE0739",-0.4274,1,0.909055,0,0.0414,4,3,FALSE,FALSE,FALSE
"MED15","MED15_HUMAN","P92272","Protein MED15",1.2247,0.038261,0.012959,1.7552,1.8874,6,2,FALSE,FALSE,TRUE
"GENE1115","GENE1115_HUMAN","P64887","Protein GENE1115",0.3198,0.992116,0.790303,0.0552,0.1022,2,5,FALSE,FALSE,FALSE
"GENE1620","GENE1620_HUMAN","P37283","Protein GENE1620",-0.3512,1,0.874767,0,0.0581,3,3,FALSE,FALSE,FALSE
"GENE1259","GENE1259_HUMAN","P13480","Protein GENE1259",0.0592,1,0.699187,0,0.1554,4,5,FALSE,FALSE,FALSE
"GENE0221","GENE0221_HUMAN","P17636","Protein GENE0221",-0.0324,1,0.904383,0,0.0436,6,2,FALSE,FALSE,FALSE
"DHX29","DHX29_HUMAN","P96577","Protein DHX29",0.3755,0.343349,0.10624,0.3037,0.9737,3,6,FALSE,FALSE,FALSE
"GENE2461","GENE2461_HUMAN","P94411","Protein GENE2461",0.0088,1,0.380116,0,0.4201,6,5,FALSE,FALSE,FALSE
"GENE0584","GENE0584_HUMAN","P88126","Protein GENE0584",-0.7124,1,0.419472,4e-04,0.3773,6,4,FALSE,FALSE,FALSE
"GENE0417","GENE0417_HUMAN","P93468","Protein GENE0417",0.8401,1,0.787431,0,0.1038,3,3,FALSE,FALSE,FALSE
"GENE2274","GENE2274_HUMAN","P76916","Protein GENE2274",0.582,1,0.399503,0,0.3985,2,5,FALSE,TRUE,FALSE
"GENE2430","GENE2430_HUMAN","P32869","Protein GENE2430",0.665,1,0.682525,0,0.1659,3,5,FALSE,FALSE,FALSE
"GENE0659","GENE0659_HUMAN","P63477","Protein GENE0659",-0.1544,1,0.660719,0,0.18,4,5,FALSE,FALSE,FALSE
"GENE2065","GENE2065_HUMAN","P09618","Protein GENE2065",-0.5608,0.71748,0.422855,0,0.3738,2,4,FALSE,FALSE,FALSE
"GENE0380","GENE0380_HUMAN","P48806","Protein GENE0380",-0.1414,1,0.521468,0,0.2828,3,3,FALSE,FALSE,FALSE
"GENE0090","GENE0090_HUMAN","P88212","Protein GENE0090",-0.4552,1,0.793683,0,0.1004,5,2,FALSE,FALSE,FALSE
"GENE2426","GENE2426_HUMAN","P10111","Protein GENE2426",0.0569,0.922405,0.486404,0,0.313,5,5,FALSE,FALSE,FALSE
"GENE2854","GENE2854_HUMAN","P82905","Protein GENE2854",-0.4418,0.970047,0.462242,0,0.3351,2,2,TRUE,FALSE,FALSE
"GENE1467","GENE1467_HUMAN","P37029","Protein GENE1467",0.1318,0.407137,0.351861,0.1163,0.4536,4,5,FALSE,FALSE,FALSE
