"Gene","Entry.Name","UniProt.ID","Description","logFC","P.Val","adj.P.Val","log.P.Val","log.adj.P.Val","n_data_points_BK516_Ctrl","n_data_points_BK516_Cflag","imputed_BK516_Cflag","imputed_BK516_Ctrl","is_significant"
"GENE2469","GENE2469_HUMAN","P89581","Protein GENE2469",0.0929,0.776296,0.173059,0.5359,0.7618,5,2,FALSE,FALSE,FALSE
"GENE1787","GENE1787_HUMAN","P91563","Protein GENE1787",0.0967,1,0.740218,0,0.1306,6,5,FALSE,FALSE,FALSE
"GENE2477","GENE2477_HUMAN","P21127","Protein GENE2477",-1.0864,0.851459,0.612784,0,0.2127,2,6,FALSE,FALSE,FALSE
"GENE0763","GENE0763_HUMAN","P68365","Protein GENE0763",0.1431,1,0.865653,0,0.0627,6,6,TRUE,TRUE,FALSE
"GENE2638","GENE2638_HUMAN","P38009","Protein GENE2638",0.286,0.591592,0.130261,0.8122,0.8852,5,3,FALSE,FALSE,FALSE
"GENE2132","GENE2132_HUMAN","P97535","Protein GENE2132",0.1101,0.98721,0.745274,0.0666,0.1277,4,6,FALSE,FALSE,FALSE
"GENE1155","GENE1155_HUMAN","P21941","Protein GENE1155",-0.4603,0.319275,0.081135,0.5876,1.0908,2,2,FALSE,FALSE,FALSE
"GENE1356","GENE1356_HUMAN","P20840","Protein GENE1356",-0.1432,1,0.736689,0,0.1327,2,4,FALSE,FALSE,FALSE
"GENE2116","GENE2116_HUMAN","P30745","Protein GENE2116",0.4016,1,0.892688,0,0.0493,4,5,FALSE,TRUE,FALSE
"GENE1994","GENE1994_HUMAN","P70546","Protein GENE1994",-0.1193,0.376318,0.251116,0.1169,0.6001,6,3,FALSE,FALSE,FALSE
"GENE0854","GENE0854_HUMAN","P38346","Protein GENE0854",-0.3996,1,0.977843,0,0.0097,5,5,FALSE,FALSE,FALSE
"GENE0574","GENE0574_HUMAN","P66402","Protein GENE0574",0.4172,0.707056,0.157823,0.5965,0.8018,3,5,FALSE,FALSE,FALSE
"GENE2413","GENE2413_HUMAN","P41690","Protein GENE2413",0.6578,1,0.523737,0,0.2809,4,6,TRUE,FALSE,FALSE
