"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0019538","protein metabolic process",23,0.89446621287941,2.2990949198383,1e-10,1.37e-08,6.31578947368421e-10,272,"tags=74%, list=9%, signal=68%","FMR1/PKN1/WNK1/ASCC3/NEK6/PABPC1/UFSP2/NCOA3/EP300/UFL1/PKN3/ASCC2/ZNF598/MED1/STK3/DHX36/DDRGK1"
"GO:0008152","metabolic process",45,0.751314258977276,2.2070428068679,8.5904722024988e-10,3.92298230580779e-08,1.80852046368396e-09,272,"tags=44%, list=9%, signal=41%","FMR1/PKN1/WNK1/ASCC3/NEK6/PABPC1/UFSP2/NCOA3/EP300/UFL1/MED15/NCOA7/PKN3/ASCC2/ZNF598/MED1/STK3/LARP7/DHX36/DDRGK1"
"GO:0043170","macromolecule metabolic process",45,0.751314258977276,2.2070428068679,8.5904722024988e-10,3.92298230580779e-08,1.80852046368396e-09,272,"tags=44%, list=9%, signal=41%","FMR1/PKN1/WNK1/ASCC3/NEK6/PABPC1/UFSP2/NCOA3/EP300/UFL1/MED15/NCOA7/PKN3/ASCC2/ZNF598/MED1/STK3/LARP7/DHX36/DDRGK1"
"GO:0006950","response to stress",24,0.854846586068028,2.21812327461254,1.55205240715785e-09,5.31577949451565e-08,2.45060906393345e-09,272,"tags=54%, list=9%, signal=50%","FMR1/PKN1/WNK1/ASCC3/NEK6/NCOA3/EP300/UFL1/NCOA7/ASCC2/MED1/DHX36/DDRGK1"
"GO:0044238","primary metabolic process",44,0.751881785348125,2.19664630543409,2.5970885295543e-09,7.11602257097878e-08,3.28053287943701e-09,272,"tags=45%, list=9%, signal=42%","FMR1/PKN1/WNK1/ASCC3/NEK6/PABPC1/UFSP2/NCOA3/EP300/UFL1/MED15/NCOA7/PKN3/ASCC2/ZNF598/MED1/STK3/LARP7/DHX36/DDRGK1"
"GO:0048519","negative regulation of biological process",22,0.852158537915015,2.15978056593394,6.40205642934197e-09,1.25297390117121e-07,5.77629151519576e-09,272,"tags=64%, list=9%, signal=58%","FMR1/PKN1/WNK1/PABPC1/UFSP2/EP300/UFL1/NCOA7/ZNF598/MED1/STK3/LARP7/DHX36/DDRGK1"
"GO:0048523","negative regulation of cellular process",22,0.852158537915015,2.15978056593394,6.40205642934197e-09,1.25297390117121e-07,5.77629151519576e-09,272,"tags=64%, list=9%, signal=58%","FMR1/PKN1/WNK1/PABPC1/UFSP2/EP300/UFL1/NCOA7/ZNF598/MED1/STK3/LARP7/DHX36/DDRGK1"
"GO:0009056","catabolic process",16,0.895592996779078,2.11861885028018,1.11927150157964e-08,1.91675244645513e-07,8.83635395983926e-09,272,"tags=75%, list=9%, signal=68%","FMR1/WNK1/ASCC3/PABPC1/UFSP2/NCOA3/EP300/UFL1/ASCC2/ZNF598/DHX36/DDRGK1"
"GO:0008150","biological_process",50,0.71709671577095,2.15888475922488,1.68936835122111e-08,2.31443464117292e-07,1.06696948498175e-08,272,"tags=42%, list=9%, signal=39%","FMR1/PKN1/WNK1/ASCC3/NEK6/PABPC1/UFSP2/PPP6R1/NCOA3/EP300/UFL1/MED15/NCOA7/PKN3/ASCC2/ZNF598/MED1/STK3/LARP7/DHX36/DDRGK1"
"GO:0009987","cellular process",50,0.71709671577095,2.15888475922488,1.68936835122111e-08,2.31443464117292e-07,1.06696948498175e-08,272,"tags=42%, list=9%, signal=39%","FMR1/PKN1/WNK1/ASCC3/NEK6/PABPC1/UFSP2/PPP6R1/NCOA3/EP300/UFL1/MED15/NCOA7/PKN3/ASCC2/ZNF598/MED1/STK3/LARP7/DHX36/DDRGK1"
