"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0050789","regulation of biological process",39,0.684796933869509,1.98552270217029,4.41087825461516e-06,0.000201430106960759,4.95256505781351e-05,325,"tags=54%, list=11%, signal=49%","PPP6R1/MED23/FMR1/STK3/EP300/NEK6/MED1/ASCC2/DDRGK1/NCOA1/MED15/PABPC1/AGGF1/NCOA3/NCOA2/NCOA7/PKN3/UFSP2/ASCC1/WNK1/UFL1"
"GO:0050794","regulation of cellular process",39,0.684796933869509,1.98552270217029,4.41087825461516e-06,0.000201430106960759,4.95256505781351e-05,325,"tags=54%, list=11%, signal=49%","PPP6R1/MED23/FMR1/STK3/EP300/NEK6/MED1/ASCC2/DDRGK1/NCOA1/MED15/PABPC1/AGGF1/NCOA3/NCOA2/NCOA7/PKN3/UFSP2/ASCC1/WNK1/UFL1"
"GO:0065007","biological regulation",39,0.684796933869509,1.98552270217029,4.41087825461516e-06,0.000201430106960759,4.95256505781351e-05,325,"tags=54%, list=11%, signal=49%","PPP6R1/MED23/FMR1/STK3/EP300/NEK6/MED1/ASCC2/DDRGK1/NCOA1/MED15/PABPC1/AGGF1/NCOA3/NCOA2/NCOA7/PKN3/UFSP2/ASCC1/WNK1/UFL1"
"GO:0009889","regulation of biosynthetic process",32,0.69589631793297,1.96107185781,1.2815132351952e-05,0.000219459141527178,5.3958452008219e-05,325,"tags=53%, list=11%, signal=48%","MED23/FMR1/STK3/EP300/MED1/ASCC2/DDRGK1/NCOA1/MED15/PABPC1/NCOA3/NCOA2/NCOA7/UFSP2/ASCC1/WNK1/UFL1"
"GO:0010468","regulation of gene expression",32,0.69589631793297,1.96107185781,1.2815132351952e-05,0.000219459141527178,5.3958452008219e-05,325,"tags=53%, list=11%, signal=48%","MED23/FMR1/STK3/EP300/MED1/ASCC2/DDRGK1/NCOA1/MED15/PABPC1/NCOA3/NCOA2/NCOA7/UFSP2/ASCC1/WNK1/UFL1"
"GO:0010556","regulation of macromolecule biosynthetic process",32,0.69589631793297,1.96107185781,1.2815132351952e-05,0.000219459141527178,5.3958452008219e-05,325,"tags=53%, list=11%, signal=48%","MED23/FMR1/STK3/EP300/MED1/ASCC2/DDRGK1/NCOA1/MED15/PABPC1/NCOA3/NCOA2/NCOA7/UFSP2/ASCC1/WNK1/UFL1"
"GO:0019222","regulation of metabolic process",32,0.69589631793297,1.96107185781,1.2815132351952e-05,0.000219459141527178,5.3958452008219e-05,325,"tags=53%, list=11%, signal=48%","MED23/FMR1/STK3/EP300/MED1/ASCC2/DDRGK1/NCOA1/MED15/PABPC1/NCOA3/NCOA2/NCOA7/UFSP2/ASCC1/WNK1/UFL1"
"GO:0060255","regulation of macromolecule metabolic process",32,0.69589631793297,1.96107185781,1.2815132351952e-05,0.000219459141527178,5.3958452008219e-05,325,"tags=53%, list=11%, signal=48%","MED23/FMR1/STK3/EP300/MED1/ASCC2/DDRGK1/NCOA1/MED15/PABPC1/NCOA3/NCOA2/NCOA7/UFSP2/ASCC1/WNK1/UFL1"
"GO:0050793","regulation of developmental process",17,0.80071536432526,1.96317115770019,2.19785556374457e-05,0.000324967774286088,7.98998753527071e-05,325,"tags=65%, list=11%, signal=58%","FMR1/STK3/EP300/MED1/DDRGK1/NCOA1/AGGF1/NCOA3/NCOA2/WNK1/UFL1"
"GO:0050896","response to stimulus",31,0.692226542975542,1.93298425968439,2.60923030448684e-05,0.000324967774286088,7.98998753527071e-05,325,"tags=55%, list=11%, signal=49%","PPP6R1/FMR1/STK3/EP300/NEK6/MED1/ASCC2/DDRGK1/NCOA1/NCOA3/NCOA2/NCOA7/PKN3/UFSP2/ASCC1/WNK1/UFL1"
