"Gene","Entry.Name","UniProt.ID","Description","logFC","P.Val","adj.P.Val","log.P.Val","log.adj.P.Val","n_data_points_BK516_Ctrl","n_data_points_BK516_Cflag","imputed_BK516_Cflag","imputed_BK516_Ctrl","is_significant"
"GENE1580","GENE1580_HUMAN","P76071","Protein GENE1580",2.2682,0.031224,0.030769,1.2413,1.5119,4,4,FALSE,FALSE,TRUE
"GENE2482","GENE2482_HUMAN","P39430","Protein GENE2482",-0.4057,1,0.361054,0.2597,0.4424,4,4,FALSE,FALSE,FALSE
"GENE2788","GENE2788_HUMAN","P53940","Protein GENE2788",-0.4911,1,0.427018,0.1959,0.3696,6,4,FALSE,FALSE,FALSE
"GENE2284","GENE2284_HUMAN","P40563","Protein GENE2284",-0.4902,0.581043,0.556078,0,0.2549,6,4,FALSE,FALSE,FALSE
"GENE2460","GENE2460_HUMAN","P02303","Protein GENE2460",-0.146,0.438181,0.15817,0.1531,0.8009,2,4,FALSE,FALSE,FALSE
"GENE2863","GENE2863_HUMAN","P12582","Protein GENE2863",-3.0262,0.040199,0.034976,1.0477,1.4562,3,6,FALSE,FALSE,TRUE
"GENE0276","GENE0276_HUMAN","P77907","Protein GENE0276",0.524,1,0.618004,0.0676,0.209,5,5,TRUE,TRUE,FALSE
"GENE1866","GENE1866_HUMAN","P92022","Protein GENE1866",0.7759,0.001994,0.001535,2.7138,2.8139,5,3,TRUE,FALSE,TRUE
"GENE2098","GENE2098_HUMAN","P23963","Protein GENE2098",-0.7134,1,0.743499,0,0.1287,3,6,FALSE,TRUE,FALSE
"GENE0128","GENE0128_HUMAN","P31958","Protein GENE0128",-0.8099,0.630162,0.375302,0,0.4256,2,4,FALSE,FALSE,FALSE
"GENE1142","GENE1142_HUMAN","P09845","Protein GENE1142",0.4253,1,0.580139,0,0.2365,2,2,FALSE,TRUE,FALSE
"GENE0215","GENE0215_HUMAN","P25222","Protein GENE0215",-3.8442,0.06504,0.046726,0.649,1.3304,3,4,FALSE,FALSE,TRUE
"GENE1789","GENE1789_HUMAN","P82708","Protein GENE1789",-0.4844,0.370633,0.113435,0.4956,0.9453,5,2,FALSE,FALSE,FALSE
"GENE0205","GENE0205_HUMAN","P58321","Protein GENE0205",-0.5507,0.784679,0.196595,0.3955,0.7064,3,4,FALSE,FALSE,FALSE
"GENE2054","GENE2054_HUMAN","P95445","Protein GENE2054",0.017,0.242224,0.184759,0.0922,0.7334,2,2,FALSE,TRUE,FALSE
"GENE0264","GENE0264_HUMAN","P48125","Protein GENE0264",-0.7406,1,0.626491,0.0012,0.2031,4,2,FALSE,FALSE,FALSE
